cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
101500,0,59,10,0,3,3
132000,1,87,10,0,3,3
308000,1,120,11,0,4,1
94900,0,58,11,0,2,2
95000,0,58,11,0,2,2
99000,0,58,11,0,3,2
105000,0,58,11,0,2,2
145000,0,86,11,0,4,2
150000,0,64,11,0,2,2
177000,1,56,11,0,2,2
190000,0,80,11,0,3,2
303500,0,119,11,0,3,2
359000,1,136,11,0,4,2
437000,1,165,11,0,5,2
95000,0,58,11,0,2,3
145000,0,82,11,0,4,3
402000,1,156,11,0,4,3
359128,1,136,12,0,4,1
72000,0,28,12,0,0,2
74000,0,29,12,0,0,2
77000,0,29,12,0,0,2
77800,0,29,12,0,0,2
78500,1,37,12,0,0,2
102900,0,57,12,0,2,2
102900,1,62,12,0,2,2
103000,0,61,12,0,2,2
105000,0,57,12,0,2,2
120000,0,57,12,0,2,2
135000,0,79,12,0,3,2
140000,0,86,12,0,4,2
142000,0,82,12,0,4,2
145000,0,77,12,0,3,2
149000,0,86,12,0,4,2
155000,0,85,12,0,4,2
155000,0,86,12,0,4,2
240000,0,78,12,0,3,2
102900,0,57,12,0,2,3
102900,1,83,12,0,2,3
103000,0,57,12,0,2,3
103000,0,57,12,0,2,3
103000,0,57,12,0,2,3
108000,0,59,12,0,2,3
248500,1,103,12,0,4,3
287000,1,114,12,0,4,3
300000,0,110,12,0,5,3
437000,1,165,12,0,3,3
74500,0,29,13,0,0,2
85000,0,36,13,0,1,2
95000,0,56,13,0,2,2
97000,0,56,13,0,2,2
65000,0,30,13,0,0,3
84000,0,36,14,0,1.5,2
84000,0,36,14,0,1,2
220000,0,77,14,0,4,2
266277,1,124,14,0,4,2
95000,0,42,15,0,1.5,2
110000,0,69,15,0,3,2
116000,0,64,15,0,3,2
120000,0,50,15,0,2,2
180000,0,71,15,0,3,2
117000,0,70,16,0,3,2
125000,0,77,16,0,3,2
125000,0,77,16,0,3,2
